,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Buy A Heart,0.7290000000000001,0.434,5.0,-10.284,0.0,0.14300000000000002,0.126,0.0,0.287,0.43200000000000005,119.932,audio_features,4pJ15e9awy9c4eajhHmJO1,spotify:track:4pJ15e9awy9c4eajhHmJO1,https://api.spotify.com/v1/tracks/4pJ15e9awy9c4eajhHmJO1,https://api.spotify.com/v1/audio-analysis/4pJ15e9awy9c4eajhHmJO1,255467.0,4.0
Levitating,0.695,0.884,6.0,-2.278,0.0,0.0753,0.0561,0.0,0.213,0.914,103.014,audio_features,39LLxExYz6ewLAcYrzQQyP,spotify:track:39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/tracks/39LLxExYz6ewLAcYrzQQyP,https://api.spotify.com/v1/audio-analysis/39LLxExYz6ewLAcYrzQQyP,203808.0,4.0
Memories - Dillon Francis Remix,0.726,0.815,11.0,-4.968999999999999,1.0,0.0373,0.0724,0.00421,0.35700000000000004,0.693,99.97200000000001,audio_features,0r7CVbZTWZgbTCYdfa2P31,spotify:track:0r7CVbZTWZgbTCYdfa2P31,https://api.spotify.com/v1/tracks/0r7CVbZTWZgbTCYdfa2P31,https://api.spotify.com/v1/audio-analysis/0r7CVbZTWZgbTCYdfa2P31,162600.0,4.0
Last To Leave (feat. Caroline Ailin),0.753,0.602,0.0,-6.3260000000000005,1.0,0.149,0.052000000000000005,0.00024900000000000004,0.102,0.555,94.056,audio_features,4v0134PgBTGsFJiGcV4eJk,spotify:track:4v0134PgBTGsFJiGcV4eJk,https://api.spotify.com/v1/tracks/4v0134PgBTGsFJiGcV4eJk,https://api.spotify.com/v1/audio-analysis/4v0134PgBTGsFJiGcV4eJk,180148.0,4.0
High School Sweethearts,0.648,0.639,10.0,-6.415,0.0,0.12300000000000001,0.45299999999999996,0.0,0.28300000000000003,0.44,94.03299999999999,audio_features,7FwWRSAlhfyhbvybdfDUCe,spotify:track:7FwWRSAlhfyhbvybdfDUCe,https://api.spotify.com/v1/tracks/7FwWRSAlhfyhbvybdfDUCe,https://api.spotify.com/v1/audio-analysis/7FwWRSAlhfyhbvybdfDUCe,311082.0,4.0
Something About You - ODESZA Remix,0.705,0.674,11.0,-8.432,0.0,0.04,0.0184,0.0149,0.138,0.10300000000000001,105.0,audio_features,6vjWim6xU6tPjA42GxSp1U,spotify:track:6vjWim6xU6tPjA42GxSp1U,https://api.spotify.com/v1/tracks/6vjWim6xU6tPjA42GxSp1U,https://api.spotify.com/v1/audio-analysis/6vjWim6xU6tPjA42GxSp1U,343800.0,4.0
Peaceful Mind,0.19,0.0197,5.0,-28.164,0.0,0.036000000000000004,0.995,0.965,0.0848,0.0351,79.619,audio_features,1WibRGaemUausx1GX9VPhv,spotify:track:1WibRGaemUausx1GX9VPhv,https://api.spotify.com/v1/tracks/1WibRGaemUausx1GX9VPhv,https://api.spotify.com/v1/audio-analysis/1WibRGaemUausx1GX9VPhv,200400.0,4.0
LIKE I WOULD - The White Panda Remix,0.632,0.773,10.0,-4.603,0.0,0.0405,0.36700000000000005,0.0,0.107,0.605,121.883,audio_features,25gECGQmjt6VMMAuPekofa,spotify:track:25gECGQmjt6VMMAuPekofa,https://api.spotify.com/v1/tracks/25gECGQmjt6VMMAuPekofa,https://api.spotify.com/v1/audio-analysis/25gECGQmjt6VMMAuPekofa,198074.0,4.0
Calma - Remix,0.826,0.773,11.0,-4.218,0.0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899,audio_features,5iwz1NiezX7WWjnCgY5TH4,spotify:track:5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4,238200.0,4.0
Wishing Well,0.65,0.613,9.0,-6.13,0.0,0.128,0.00336,0.0,0.267,0.0804,149.972,audio_features,2U5WueTLIK5WJLD7mvDODv,spotify:track:2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/tracks/2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv,194621.0,4.0
